"year","dpt","dpt_url","circo","circo_url","tour","nuance","candidat","nameLast","nameFirst","sexe","voix","pct_inscrits","pct_exprimes","elected"
"2017","18","018","1","01","2","REM","M. François CORMIER-BOULIGEON",NULL,NULL,NULL,"15397","21.22","56.21","1"
"2017","18","018","1","01","2","LR","M. Wladimir D'ORMESSON",NULL,NULL,NULL,"11996","16.53","43.79","0"
"2017","18","018","2","02","2","MDM","Mme Nadia ESSAYAN",NULL,NULL,NULL,"14366","20.48","52.57","1"
"2017","18","018","2","02","2","COM","M. Nicolas SANSU",NULL,NULL,NULL,"12962","18.48","47.43","0"
"2017","18","018","3","03","2","REM","M. Loïc KERVRAN",NULL,NULL,NULL,"17775","20.63","50.92","1"
"2017","18","018","3","03","2","SOC","M. Yann GALUT",NULL,NULL,NULL,"17136","19.89","49.08","0"
"2017","19","019","1","01","2","REM","M. Christophe JERRETIE",NULL,NULL,NULL,"22509","24.3","53.43","1"
"2017","19","019","1","01","2","SOC","M. Bernard COMBES",NULL,NULL,NULL,"19619","21.18","46.57","0"
"2017","19","019","2","02","2","LR","Mme Frédérique MEUNIER",NULL,NULL,NULL,"18874","20.4","50.03","1"
"2017","19","019","2","02","2","REM","Mme Patricia BORDAS",NULL,NULL,NULL,"18849","20.37","49.97","0"
"2017","21","021","1","01","2","REM","M. Didier MARTIN",NULL,NULL,NULL,"15269","22.3","54.14","1"
"2017","21","021","1","01","2","DVD","M. François-Xavier DUGOURD",NULL,NULL,NULL,"12935","18.89","45.86","0"
"2017","21","021","2","02","2","LR","M. Rémi DELATTE",NULL,NULL,NULL,"14352","20.87","52.44","1"
"2017","21","021","2","02","2","REM","M. François DESEILLE",NULL,NULL,NULL,"13017","18.93","47.56","0"
"2017","21","021","3","03","2","REM","Mme Fadila KHATTABI",NULL,NULL,NULL,"17553","24.92","65.31","1"
"2017","21","021","3","03","2","FN","M. Jean-François BATHELIER",NULL,NULL,NULL,"9323","13.24","34.69","0"
"2017","21","021","4","04","2","REM","Mme Yolaine DE COURSON",NULL,NULL,NULL,"14414","20.98","51.29","1"
"2017","21","021","4","04","2","LR","M. Charles BARRIERE",NULL,NULL,NULL,"13690","19.93","48.71","0"
"2017","21","021","5","05","2","REM","M. Didier PARIS",NULL,NULL,NULL,"17822","21.11","53.78","1"
"2017","21","021","5","05","2","LR","M. Hubert POULLOT",NULL,NULL,NULL,"15319","18.14","46.22","0"
"2017","22","022","1","01","2","MDM","M. Bruno JONCOUR",NULL,NULL,NULL,"22233","24.75","60.04","1"
"2017","22","022","1","01","2","SOC","M. Michel LESAGE",NULL,NULL,NULL,"14795","16.47","39.96","0"
"2017","22","022","2","02","2","REM","M. Hervé BERVILLE",NULL,NULL,NULL,"26834","27.73","64.17","1"
"2017","22","022","2","02","2","LR","M. Didier DÉRU",NULL,NULL,NULL,"14980","15.48","35.83","0"
"2017","22","022","3","03","2","LR","M. Marc LE FUR",NULL,NULL,NULL,"25668","29.58","54.32","1"
"2017","22","022","3","03","2","REM","M. Olivier ALLAIN",NULL,NULL,NULL,"21584","24.87","45.68","0"
"2017","22","022","4","04","2","REM","M. Yannick KERLOGOT",NULL,NULL,NULL,"18053","22.94","50.49","1"
"2017","22","022","4","04","2","SOC","Mme Annie LE HOUÉROU",NULL,NULL,NULL,"17705","22.5","49.51","0"
"2017","22","022","5","05","2","REM","M. Eric BOTHOREL",NULL,NULL,NULL,"29236","28.18","66.41","1"
"2017","22","022","5","05","2","UDI","M. Jean-Yves DE CHAISEMARTIN",NULL,NULL,NULL,"14788","14.25","33.59","0"
"2017","23","023","1","01","2","REM","M. Jean-Baptiste MOREAU",NULL,NULL,NULL,"21688","23.32","58.23","1"
"2017","23","023","1","01","2","LR","M. Jérémie SAUTY",NULL,NULL,NULL,"15558","16.73","41.77","0"
"2017","24","024","1","01","2","REM","M. Philippe CHASSAING",NULL,NULL,NULL,"17298","22.76","52.53","1"
"2017","24","024","1","01","2","FI","Mme Hélène REYS",NULL,NULL,NULL,"15633","20.57","47.47","0"
"2017","24","024","2","02","2","REM","M. Michel DELPON",NULL,NULL,NULL,"22317","27.08","66.32","1"
"2017","24","024","2","02","2","FN","M. Robert DUBOIS",NULL,NULL,NULL,"11331","13.75","33.68","0"
"2017","24","024","3","03","2","MDM","M. Jean-Pierre CUBERTAFON",NULL,NULL,NULL,"16678","24.74","51","1"
"2017","24","024","3","03","2","SOC","Mme Colette LANGLADE",NULL,NULL,NULL,"16021","23.77","49","0"
"2017","24","024","4","04","2","REM","Mme Jacqueline DUBOIS",NULL,NULL,NULL,"21990","25.07","56.2","1"
"2017","24","024","4","04","2","FI","Mme Émilie CHALARD",NULL,NULL,NULL,"17136","19.54","43.8","0"
"2017","25","025","1","01","2","REM","Mme Fannette CHARVIER",NULL,NULL,NULL,"15143","20.13","53.49","1"
"2017","25","025","1","01","2","SOC","Mme Barbara ROMAGNAN",NULL,NULL,NULL,"13169","17.5","46.51","0"
"2017","25","025","2","02","2","ECO","M. Eric ALAUZET",NULL,NULL,NULL,"19672","25.09","62.19","1"
"2017","25","025","2","02","2","LR","M. Ludovic FAGAUT",NULL,NULL,NULL,"11960","15.26","37.81","0"
"2017","25","025","3","03","2","REM","M. Denis SOMMER",NULL,NULL,NULL,"12943","19.63","50.81","1"
"2017","25","025","3","03","2","LR","M. Frédéric CARTIER",NULL,NULL,NULL,"12530","19.01","49.19","0"
"2017","25","025","4","04","2","REM","M. Frédéric BARBIER",NULL,NULL,NULL,"15841","23.69","61.64","1"
"2017","25","025","4","04","2","FN","Mme Sophie MONTEL",NULL,NULL,NULL,"9860","14.75","38.36","0"
"2017","25","025","5","05","2","LR","Mme Annie GENEVARD",NULL,NULL,NULL,"21812","26.61","59.78","1"
"2017","25","025","5","05","2","REM","Mme Sylvie LE HIR",NULL,NULL,NULL,"14674","17.9","40.22","0"
"2017","26","026","1","01","2","REM","Mme Mireille CLAPOT",NULL,NULL,NULL,"15248","20.26","56.89","1"
"2017","26","026","1","01","2","LR","M. Bertrand RACT-MADOUX",NULL,NULL,NULL,"11554","15.35","43.11","0"
"2017","26","026","2","02","2","REM","Mme Alice THOUROT",NULL,NULL,NULL,"22219","23.82","62.8","1"
"2017","26","026","2","02","2","FN","Mme Laure PELLIER",NULL,NULL,NULL,"13160","14.11","37.2","0"
"2017","26","026","3","03","2","REM","Mme Célia DE LAVERGNE",NULL,NULL,NULL,"24518","22.98","56.99","1"
"2017","26","026","3","03","2","LR","M. Paul BERARD",NULL,NULL,NULL,"18506","17.34","43.01","0"
"2017","26","026","4","04","2","LR","Mme Emmanuelle ANTHOINE",NULL,NULL,NULL,"20116","21.34","56.45","1"
"2017","26","026","4","04","2","REM","Mme Latifa CHAY",NULL,NULL,NULL,"15520","16.47","43.55","0"
"2017","27","027","1","01","2","REM","M. Bruno LE MAIRE",NULL,NULL,NULL,"21398","24.76","64.53","1"
"2017","27","027","1","01","2","FN","Mme Fabienne DELACOUR",NULL,NULL,NULL,"11761","13.61","35.47","0"
"2017","27","027","2","02","2","REM","M. Fabien GOUTTEFARDE",NULL,NULL,NULL,"20056","25.56","63.25","1"
"2017","27","027","2","02","2","FN","M. Emmanuel CAMOIN",NULL,NULL,NULL,"11653","14.85","36.75","0"
