"dpt","dpt_url","circo","circo_url","tour","inscrits","abstentions","votants","blancs","nuls","exprimes","year"
"45","045","6","06","2","71880","40627","31253","2901","1062","27290","2017"
"46","046","1","01","2","70805","33979","36826","3422","1530","31874","2017"
"46","046","2","02","2","65345","30913","34432","2851","1563","30018","2017"
"47","047","1","01","2","88182","47754","40428","3951","1939","34538","2017"
"47","047","2","02","2","76963","39074","37889","3049","1544","33296","2017"
"47","047","3","03","2","75664","38417","37247","3148","1430","32669","2017"
"48","048","1","01","2","59436","26522","32914","2496","1377","29041","2017"
"49","049","1","01","2","84090","47184","36906","2970","1044","32892","2017"
"49","049","2","02","2","90325","50957","39368","3077","1103","35188","2017"
"49","049","3","03","2","70380","38753","31627","2037","857","28733","2017"
"49","049","4","04","2","74274","41712","32562","2623","991","28948","2017"
"49","049","5","05","2","77379","44819","32560","1698","686","30176","2017"
"49","049","6","06","2","94693","53784","40909","3194","1049","36666","2017"
"49","049","7","07","2","77820","43203","34617","2831","970","30816","2017"
"50","050","1","01","2","86929","45776","41153","2206","773","38174","2017"
"50","050","2","02","2","95481","49156","46325","2504","884","42937","2017"
"50","050","3","03","2","107801","60944","46857","3585","1237","42035","2017"
"50","050","4","04","2","88707","57254","31453","4223","1566","25664","2017"
"51","051","1","01","2","72128","45304","26824","2275","872","23677","2017"
"51","051","2","02","2","73131","42608","30523","2028","811","27684","2017"
"51","051","3","03","2","80596","47254","33342","2539","697","30106","2017"
"51","051","4","04","2","78818","45962","32856","2157","875","29824","2017"
"51","051","5","05","2","76921","41276","35645","1471","537","33637","2017"
"52","052","1","01","2","72403","39825","32578","3011","1413","28154","2017"
"52","052","2","02","2","61594","33811","27783","1344","511","25928","2017"
"53","053","1","01","2","72721","38951","33770","2039","952","30779","2017"
"53","053","2","02","2","77823","42112","35711","2142","687","32882","2017"
"53","053","3","03","2","71930","38016","33914","1665","712","31537","2017"
"54","054","1","01","2","79290","45290","34000","2507","1029","30464","2017"
"54","054","2","02","2","68601","38825","29776","2755","850","26171","2017"
"54","054","3","03","2","82580","53649","28931","1606","772","26553","2017"
"54","054","4","04","2","97994","56806","41188","3183","1357","36648","2017"
"54","054","5","05","2","78751","43290","35461","2116","933","32412","2017"
"54","054","6","06","2","87545","53927","33618","3546","1108","28964","2017"
"55","055","1","01","2","77283","42271","35012","2751","1268","30993","2017"
"55","055","2","02","2","60274","33709","26565","2025","690","23850","2017"
"56","056","1","01","2","105388","56145","49243","2867","977","45399","2017"
"56","056","2","02","2","104281","56136","48145","4509","2073","41563","2017"
"56","056","3","03","2","90782","50225","40557","2577","1576","36404","2017"
"56","056","4","04","1","105109","48060","57049","898","293","55858","2017"
"56","056","5","05","2","80704","45562","35142","2977","860","31305","2017"
"56","056","6","06","2","90701","48495","42206","3551","1650","37005","2017"
"57","057","1","01","2","91439","57531","33908","2850","879","30179","2017"
"57","057","2","02","2","76507","46687","29820","2325","740","26755","2017"
"57","057","3","03","2","75323","45693","29630","2163","797","26670","2017"
"57","057","4","04","2","81476","47773","33703","2668","844","30191","2017"
"57","057","5","05","2","73972","43460","30512","1585","722","28205","2017"
"57","057","6","06","2","70132","44558","25574","1203","352","24019","2017"
"57","057","7","07","2","90360","55862","34498","2189","519","31790","2017"
"57","057","8","08","2","92436","62211","30225","2116","662","27447","2017"
"57","057","9","09","2","99470","61690","37780","2742","825","34213","2017"
"58","058","1","01","2","76910","44415","32495","3225","973","28297","2017"
"58","058","2","02","2","82375","42850","39525","2968","1988","34569","2017"
"59","059","1","01","2","61729","38056","23673","1133","512","22028","2017"
"59","059","10","10","2","82008","55525","26483","1989","952","23542","2017"
"59","059","11","11","2","92067","54408","37659","2846","1101","33712","2017"
"59","059","12","12","2","93580","54752","38828","2451","1052","35325","2017"
"59","059","13","13","2","89284","52767","36517","1797","704","34016","2017"
"59","059","14","14","2","98782","54871","43911","3074","1446","39391","2017"
"59","059","15","15","2","95872","51013","44859","3033","1426","40400","2017"
"59","059","16","16","2","83023","49704","33319","2001","783","30535","2017"
"59","059","17","17","2","73599","43660","29939","1919","881","27139","2017"
"59","059","18","18","2","91572","53516","38056","2662","1362","34032","2017"
"59","059","19","19","2","79087","47011","32076","2176","967","28933","2017"
"59","059","2","02","2","86665","51589","35076","3046","1449","30581","2017"
"59","059","20","20","2","81103","50223","30880","1196","513","29171","2017"
"59","059","21","21","2","82589","51205","31384","1771","713","28900","2017"
"59","059","3","03","2","94004","57974","36030","2226","935","32869","2017"
"59","059","4","04","2","99302","57798","41504","3112","1261","37131","2017"
"59","059","5","05","2","99876","56682","43194","3511","1346","38337","2017"
"59","059","6","06","2","89105","46899","42206","2789","1324","38093","2017"
"59","059","7","07","2","72442","44526","27916","1853","699","25364","2017"
"59","059","8","08","2","67822","47537","20285","1225","468","18592","2017"
"59","059","9","09","2","91618","53561","38057","2110","829","35118","2017"
"60","060","1","01","2","82961","45957","37004","2039","843","34122","2017"
"60","060","2","02","2","88736","50119","38617","2688","894","35035","2017"
"60","060","3","03","2","73889","46419","27470","2012","665","24793","2017"
"60","060","4","04","2","92500","51775","40725","2487","926","37312","2017"
"60","060","5","05","2","72839","42861","29978","1813","742","27423","2017"
"60","060","6","06","2","75244","41754","33490","2563","760","30167","2017"
"60","060","7","07","2","76092","44433","31659","2186","996","28477","2017"
"61","061","1","01","2","69513","37900","31613","1943","732","28938","2017"
"61","061","2","02","2","67447","35218","32229","1968","693","29568","2017"
"61","061","3","03","2","71645","35951","35694","2151","739","32804","2017"
"62","062","1","01","2","104385","53721","50664","3240","1561","45863","2017"
"62","062","10","10","2","90271","52822","37449","2261","1229","33959","2017"
"62","062","11","11","2","94924","53468","41456","1594","1009","38853","2017"
"62","062","12","12","2","95124","55382","39742","2146","1179","36417","2017"
"62","062","2","02","2","85128","45365","39763","3181","1707","34875","2017"
"62","062","3","03","2","85611","51834","33777","1995","999","30783","2017"
"62","062","4","04","2","88520","40867","47653","2134","1168","44351","2017"
"62","062","5","05","2","90116","52616","37500","2708","1176","33616","2017"
"62","062","6","06","2","91198","46254","44944","2533","1367","41044","2017"
"62","062","7","07","2","93283","54973","38310","2151","1168","34991","2017"
"62","062","8","08","2","93014","50963","42051","2645","1665","37741","2017"
"62","062","9","09","2","79078","43451","35627","2355","1273","31999","2017"
"63","063","1","01","2","83501","49118","34383","1865","873","31645","2017"
"63","063","2","02","2","87873","44409","43464","2480","1533","39451","2017"
"63","063","3","03","2","89010","47614","41396","3789","1308","36299","2017"
"63","063","4","04","2","98645","56708","41937","5040","2149","34748","2017"
"63","063","5","05","2","102047","51053","50994","1706","1107","48181","2017"
"64","064","1","01","2","68809","38826","29983","3727","1640","24616","2017"
"64","064","2","02","2","80072","42053","38019","2734","1503","33782","2017"
"64","064","3","03","2","82747","38958","43789","2827","1512","39450","2017"
"64","064","4","04","2","80161","37381","42780","3768","1531","37481","2017"
"64","064","5","05","2","90977","50425","40552","3015","1378","36159","2017"
"64","064","6","06","2","99395","56536","42859","4487","1785","36587","2017"
"65","065","1","01","2","88311","45257","43054","2652","1267","39135","2017"
"65","065","2","02","2","89340","48380","40960","3500","1775","35685","2017"
"66","066","1","01","2","70972","42116","28856","2127","1001","25728","2017"
"66","066","2","02","2","96636","52526","44110","2440","1168","40502","2017"
"66","066","3","03","2","83040","46919","36121","3424","1503","31194","2017"
"66","066","4","04","2","97099","53728","43371","3473","1613","38285","2017"
"67","067","1","01","2","61033","36446","24587","1731","670","22186","2017"
"67","067","2","02","2","69535","42337","27198","1792","646","24760","2017"
"67","067","3","03","2","68885","42466","26419","1827","607","23985","2017"
"67","067","4","04","2","94490","54683","39807","1854","640","37313","2017"
"67","067","5","05","2","103986","64638","39348","2502","816","36030","2017"
"67","067","6","06","2","96028","54142","41886","1607","591","39688","2017"
"67","067","7","07","2","85427","49699","35728","1806","641","33281","2017"
"67","067","8","08","2","94499","54358","40141","1931","740","37470","2017"
"67","067","9","09","2","92729","56632","36097","1685","690","33722","2017"
"68","068","1","01","2","76069","43958","32111","1211","538","30362","2017"
"68","068","2","02","2","92204","52411","39793","2058","760","36975","2017"
"68","068","3","03","2","85719","49150","36569","1883","622","34064","2017"
"68","068","4","04","2","102685","63492","39193","2359","996","35838","2017"
"68","068","5","05","2","77489","46067","31422","2110","178","29134","2017"
"68","068","6","06","2","92418","57848","34570","2201","560","31809","2017"
"69","069","1","01","2","69503","39778","29725","1597","848","27280","2017"
"69","069","10","10","2","95268","53226","42042","2830","834","38378","2017"
"69","069","11","11","2","92513","53946","38567","2421","1068","35078","2017"
"69","069","12","12","2","79783","44488","35295","2557","780","31958","2017"
"69","069","13","13","2","84804","51354","33450","1953","664","30833","2017"
"69","069","14","14","2","74256","50980","23276","1667","703","20906","2017"
"69","069","2","02","2","74987","40100","34887","1841","1115","31931","2017"
"69","069","3","03","2","72021","39967","32054","1958","696","29400","2017"
"69","069","4","04","2","80168","43896","36272","2384","703","33185","2017"
"69","069","5","05","2","88072","48408","39664","1948","628","37088","2017"
"69","069","6","06","2","82455","49129","33326","2008","1022","30296","2017"
"69","069","7","07","2","68017","44931","23086","1722","683","20681","2017"
"69","069","8","08","2","102568","55444","47124","2179","710","44235","2017"
"69","069","9","09","2","91683","51516","40167","2180","674","37313","2017"
"70","070","1","01","2","88459","44263","44196","3164","1914","39118","2017"
"70","070","2","02","2","90724","46812","43912","3201","2187","38524","2017"
"71","071","1","01","2","72893","41335","31558","2463","786","28309","2017"
"71","071","2","02","2","78344","42991","35353","2600","1163","31590","2017"
"71","071","3","03","2","82724","46970","35754","3538","1562","30654","2017"
"71","071","4","04","2","82337","48091","34246","2804","1214","30228","2017"
"71","071","5","05","2","89986","54018","35968","3213","1554","31201","2017"
"72","072","1","01","2","71771","40812","30959","3023","575","27361","2017"
"72","072","2","02","2","81983","49062","32921","2867","654","29400","2017"
"72","072","3","03","2","85250","49567","35683","3231","1292","31160","2017"
"72","072","4","04","2","79626","47467","32159","2160","647","29352","2017"
"72","072","5","05","2","86938","48755","38183","3570","867","33746","2017"
"73","073","1","01","2","87087","46106","40981","2007","844","38130","2017"
"73","073","2","02","2","76029","48545","27484","2072","789","24623","2017"
"73","073","3","03","2","72714","41588","31126","2436","1057","27633","2017"
"73","073","4","04","2","74639","46114","28525","3311","1353","23861","2017"
"74","074","1","01","2","100409","57861","42548","2554","858","39136","2017"
"74","074","2","02","2","94953","54107","40846","2304","695","37847","2017"
"74","074","3","03","2","81855","47070","34785","1897","530","32358","2017"
"74","074","4","04","2","85236","51939","33297","1481","409","31407","2017"
"74","074","5","05","2","95600","59203","36397","2372","830","33195","2017"
"74","074","6","06","2","78941","47760","31181","1693","544","28944","2017"
"75","075","1","01","1","80780","33150","47630","217","99","47314","2017"
"75","075","10","10","2","67347","34400","32947","2042","661","30244","2017"
"75","075","11","11","2","70944","35600","35344","4064","1041","30239","2017"
"75","075","12","12","2","73915","34263","39652","1710","533","37409","2017"
"75","075","13","13","2","75382","36536","38846","2135","566","36145","2017"
"75","075","14","14","2","72364","35105","37259","713","254","36292","2017"
"75","075","15","15","2","76203","43200","33003","2284","800","29919","2017"
"75","075","16","16","2","70384","38637","31747","1404","518","29825","2017"
"75","075","17","17","2","58245","34359","23886","1120","365","22401","2017"
"75","075","18","18","2","67245","38539","28706","3470","1073","24163","2017"
"75","075","2","02","2","71736","34773","36963","2543","775","33645","2017"
"75","075","3","03","2","68679","38027","30652","2695","780","27177","2017"
"75","075","4","04","2","69753","35606","34147","834","265","33048","2017"
"75","075","5","05","2","75881","39242","36639","1879","618","34142","2017"
"75","075","6","06","2","76657","38439","38218","1695","614","35909","2017"
"75","075","7","07","2","76054","38325","37729","1937","664","35128","2017"
"75","075","8","08","2","82164","44197","37967","3952","969","33046","2017"
"75","075","9","09","2","68351","35341","33010","2100","744","30166","2017"
"76","076","1","01","2","64488","37212","27276","2236","769","24271","2017"
"76","076","10","10","2","108745","57282","51463","3924","1250","46289","2017"
"76","076","2","02","2","94797","52436","42361","3616","1224","37521","2017"
"76","076","3","03","2","69397","40600","28797","1513","645","26639","2017"
"76","076","4","04","2","88359","52299","36060","3326","1002","31732","2017"
"76","076","5","05","2","96317","55821","40496","2052","693","37751","2017"
"76","076","6","06","2","109566","57731","51835","3104","1201","47530","2017"
"76","076","7","07","2","87631","55149","32482","4207","391","27884","2017"
"76","076","8","08","2","67666","43876","23790","1548","55","22187","2017"
"76","076","9","09","2","93669","51033","42636","3597","1142","37897","2017"
"77","077","1","01","2","70918","45374","25544","2087","856","22601","2017"
